nodenumber,    x-coordinate,    y-coordinate,    z-coordinate,velocity-magnitude
107387 ,1.578 ,2.705 ,1.600 ,0.589 
107388 ,-0.787 ,2.705 ,1.600 ,0.546 
107389 ,-1.803 ,2.706 ,1.600 ,0.538 
107390 ,7.107 ,2.707 ,1.600 ,0.622 
107391 ,0.084 ,2.708 ,1.600 ,0.566 
107392 ,-1.306 ,2.709 ,1.600 ,0.534 
107393 ,-4.412 ,2.710 ,1.600 ,0.517 
107394 ,-3.324 ,2.711 ,1.600 ,0.511 
107395 ,1.450 ,2.711 ,1.600 ,0.584 
107396 ,4.520 ,2.711 ,1.600 ,0.603 
107397 ,-4.477 ,2.711 ,1.600 ,0.515 
107398 ,-3.489 ,2.712 ,1.600 ,0.511 
107399 ,-3.632 ,2.713 ,1.600 ,0.514 
107400 ,4.727 ,2.714 ,1.600 ,0.599 
107401 ,0.536 ,2.714 ,1.600 ,0.559 
107402 ,-3.963 ,2.716 ,1.600 ,0.521 
107403 ,-0.149 ,2.716 ,1.600 ,0.568 
107404 ,1.315 ,2.717 ,1.600 ,0.577 
107405 ,0.485 ,2.717 ,1.600 ,0.559 
107406 ,0.018 ,2.718 ,1.600 ,0.568 
107407 ,-2.929 ,2.718 ,1.600 ,0.520 
107408 ,-0.909 ,2.719 ,1.600 ,0.542 
107409 ,2.576 ,2.721 ,1.600 ,0.588 
107410 ,2.097 ,2.724 ,1.600 ,0.598 
107411 ,-0.076 ,2.724 ,1.600 ,0.569 
107412 ,3.811 ,2.724 ,1.600 ,0.624 
107413 ,-1.839 ,2.726 ,1.600 ,0.540 
107414 ,-4.682 ,2.727 ,1.600 ,0.511 
107415 ,-0.461 ,2.727 ,1.600 ,0.560 
107416 ,5.147 ,2.727 ,1.600 ,0.601 
107417 ,1.699 ,2.727 ,1.600 ,0.595 
107418 ,4.418 ,2.727 ,1.600 ,0.605 
107419 ,-2.010 ,2.728 ,1.600 ,0.542 
107420 ,4.134 ,2.730 ,1.600 ,0.618 
107421 ,-1.131 ,2.730 ,1.600 ,0.537 
107422 ,0.814 ,2.730 ,1.600 ,0.563 
107423 ,2.548 ,2.731 ,1.600 ,0.588 
107424 ,-3.803 ,2.731 ,1.600 ,0.519 
107425 ,-3.813 ,2.731 ,1.600 ,0.519 
107426 ,3.801 ,2.732 ,1.600 ,0.623 
107427 ,-2.471 ,2.733 ,1.600 ,0.534 
107428 ,0.785 ,2.733 ,1.600 ,0.563 
107429 ,-2.118 ,2.734 ,1.600 ,0.543 
107430 ,3.532 ,2.734 ,1.600 ,0.614 
107431 ,-1.561 ,2.734 ,1.600 ,0.536 
107432 ,6.676 ,2.735 ,1.600 ,0.618 
107433 ,3.812 ,2.736 ,1.600 ,0.623 
107434 ,0.142 ,2.736 ,1.600 ,0.567 
107435 ,5.383 ,2.736 ,1.600 ,0.603 
107436 ,-4.844 ,2.736 ,1.600 ,0.507 
107437 ,-3.810 ,2.736 ,1.600 ,0.520 
107438 ,5.446 ,2.737 ,1.600 ,0.604 
107439 ,-3.806 ,2.738 ,1.600 ,0.520 
107440 ,4.171 ,2.739 ,1.600 ,0.616 
107441 ,2.401 ,2.739 ,1.600 ,0.590 
107442 ,-3.893 ,2.739 ,1.600 ,0.522 
107443 ,-1.815 ,2.740 ,1.600 ,0.540 
107444 ,-2.850 ,2.741 ,1.600 ,0.523 
107445 ,-0.517 ,2.742 ,1.600 ,0.556 
107446 ,-3.827 ,2.742 ,1.600 ,0.520 
107447 ,4.757 ,2.743 ,1.600 ,0.598 
107448 ,-9.572 ,2.744 ,1.600 ,0.453 
107449 ,3.833 ,2.744 ,1.600 ,0.622 
107450 ,0.605 ,2.745 ,1.600 ,0.563 
107451 ,-4.285 ,2.745 ,1.600 ,0.522 
107452 ,-3.021 ,2.746 ,1.600 ,0.520 
107453 ,-4.298 ,2.747 ,1.600 ,0.522 
107454 ,-4.963 ,2.747 ,1.600 ,0.502 
107455 ,0.756 ,2.748 ,1.600 ,0.564 
107456 ,0.343 ,2.748 ,1.600 ,0.563 
107457 ,-2.357 ,2.749 ,1.600 ,0.540 
107458 ,-2.724 ,2.750 ,1.600 ,0.527 
107459 ,4.029 ,2.750 ,1.600 ,0.621 
107460 ,1.833 ,2.751 ,1.600 ,0.599 
107461 ,-1.905 ,2.752 ,1.600 ,0.543 
107462 ,0.786 ,2.753 ,1.600 ,0.565 
107463 ,-1.449 ,2.753 ,1.600 ,0.535 
107464 ,3.190 ,2.754 ,1.600 ,0.601 
107465 ,4.136 ,2.755 ,1.600 ,0.617 
107466 ,3.486 ,2.755 ,1.600 ,0.612 
107467 ,2.258 ,2.755 ,1.600 ,0.594 
107468 ,-6.581 ,2.755 ,1.600 ,0.481 
107469 ,-0.184 ,2.755 ,1.600 ,0.570 
107470 ,-1.915 ,2.755 ,1.600 ,0.544 
107471 ,-1.187 ,2.755 ,1.600 ,0.539 
107472 ,0.364 ,2.756 ,1.600 ,0.564 
107473 ,-3.907 ,2.757 ,1.600 ,0.523 
107474 ,-4.417 ,2.757 ,1.600 ,0.519 
107475 ,-4.301 ,2.757 ,1.600 ,0.522 
107476 ,1.903 ,2.758 ,1.600 ,0.599 
107477 ,4.157 ,2.759 ,1.600 ,0.616 
107478 ,-3.811 ,2.759 ,1.600 ,0.521 
107479 ,-4.286 ,2.760 ,1.600 ,0.522 
107480 ,-0.025 ,2.761 ,1.600 ,0.571 
107481 ,1.956 ,2.762 ,1.600 ,0.600 
107482 ,1.489 ,2.762 ,1.600 ,0.587 
107483 ,4.179 ,2.763 ,1.600 ,0.614 
107484 ,-1.910 ,2.763 ,1.600 ,0.544 
107485 ,-3.893 ,2.766 ,1.600 ,0.523 
107486 ,2.122 ,2.766 ,1.600 ,0.597 
107487 ,2.240 ,2.766 ,1.600 ,0.594 
107488 ,-1.920 ,2.767 ,1.600 ,0.544 
107489 ,-1.602 ,2.767 ,1.600 ,0.539 
107490 ,-1.900 ,2.767 ,1.600 ,0.544 
107491 ,1.638 ,2.767 ,1.600 ,0.594 
107492 ,2.257 ,2.768 ,1.600 ,0.594 
107493 ,-3.138 ,2.768 ,1.600 ,0.519 
107494 ,0.803 ,2.769 ,1.600 ,0.565 
107495 ,0.115 ,2.769 ,1.600 ,0.569 
107496 ,4.578 ,2.770 ,1.600 ,0.599 
107497 ,4.145 ,2.771 ,1.600 ,0.615 
107498 ,2.617 ,2.772 ,1.600 ,0.588 
107499 ,-1.913 ,2.772 ,1.600 ,0.545 
107500 ,-2.117 ,2.773 ,1.600 ,0.546 
107501 ,1.028 ,2.775 ,1.600 ,0.571 
107502 ,2.054 ,2.775 ,1.600 ,0.599 
