nodenumber,    x-coordinate,    y-coordinate,    z-coordinate,velocity-magnitude
494,-68.574 ,-133.551 ,1.600 ,1.622 
495,66.496 ,-133.435 ,1.600 ,1.652 
496,5.607 ,-133.391 ,1.600 ,1.595 
497,41.748 ,-133.262 ,1.600 ,1.627 
498,96.262 ,-133.143 ,1.600 ,1.820 
499,129.540 ,-133.114 ,1.600 ,1.554 
500,-411.086 ,-133.049 ,1.600 ,1.503 
501,-348.592 ,-133.033 ,1.600 ,1.467 
502,30.153 ,-132.812 ,1.600 ,1.623 
503,87.806 ,-132.812 ,1.600 ,1.774 
504,-89.494 ,-132.812 ,1.600 ,1.627 
505,-102.057 ,-132.812 ,1.600 ,1.640 
506,-99.001 ,-132.681 ,1.600 ,1.638 
507,-86.804 ,-132.597 ,1.600 ,1.627 
508,174.943 ,-132.514 ,1.600 ,1.410 
509,-306.989 ,-132.372 ,1.600 ,1.455 
510,-364.588 ,-132.307 ,1.600 ,1.483 
511,-92.945 ,-132.269 ,1.600 ,1.633 
512,82.792 ,-132.214 ,1.600 ,1.757 
513,61.081 ,-132.161 ,1.600 ,1.656 
514,-132.714 ,-132.010 ,1.600 ,1.636 
515,-51.323 ,-131.961 ,1.600 ,1.613 
516,-25.739 ,-131.954 ,1.600 ,1.599 
517,-60.673 ,-131.570 ,1.600 ,1.624 
518,-440.070 ,-131.494 ,1.600 ,1.524 
